PRICE_0,SMA_2,SMA_4,SMA_8,SMA_16,SMA_32,SMA_64,SMA_128,EMA_2,EMA_4,EMA_8,EMA_16,EMA_32,EMA_64,EMA_128,DEMA_2,DEMA_4,DEMA_8,DEMA_16,DEMA_32,DEMA_64,DEMA_128,TEMA_2,TEMA_4,TEMA_8,TEMA_16,TEMA_32,TEMA_64,TEMA_128,RSL_2,RSL_4,RSL_8,RSL_16,RSL_32,RSL_64,RSL_128,SPL_2,SPL_4,SPL_8,SPL_16,SPL_32,SPL_64,SPL_128
40088.22,40377.065,40461.2625,40330.39375,39832.70875,36834.32406,,,36750.72872,36750.68084,36749.09443,36657.3263,36499.67033,,,39654.63406,39654.85142,39656.75393,39661.83392,39432.95746,,,40945.45987,40945.2222,40948.96069,41139.87295,41090.39119,,,40665.91,40665.91,40665.91,41286.67,41286.67,,,40088.22,40088.22,39638.61,37822.09,30817.77,,
40316.64,40202.43,40398.98,40324.3375,39988.61813,37104.67187,,,36880.39822,36880.35208,36878.82336,36790.39225,36638.46923,,,39803.66125,39803.87239,39805.7613,39813.87224,39598.84304,,,41066.20171,41065.96668,41069.55613,41256.44686,41222.10816,,,40316.64,40665.91,40665.91,41286.67,41286.67,,,40088.22,40088.22,39638.61,38347.1,30817.77,,
40978.57,40647.605,40512.335,40373.8075,40114.1275,37385.605,,,37026.7615,37026.717,37025.24288,36939.97003,36793.47283,,,39986.7583,39986.96348,39988.83758,39999.70431,39797.58676,,,41239.62987,41239.3975,41242.84446,41425.71789,41405.05609,,,40978.57,40978.57,40978.57,41286.67,41286.67,,,40316.64,40088.22,39638.61,38347.1,30817.77,,
39181.76,40080.165,40141.2975,40245.07875,40121.6125,37635.035,,,37102.37548,37102.33255,37100.91015,37018.62933,36877.27238,,,40031.4736,40031.67309,40033.53135,40046.90383,39856.83802,,,41210.57026,41210.34055,41213.65127,41392.52592,41384.21797,,,40978.57,40978.57,40978.57,41286.67,41286.67,,,39181.76,39181.76,39181.76,38347.1,30817.77,,
39671.81,39426.785,40037.195,40249.22875,40136.58313,37911.72375,,,37190.97667,37190.93522,37189.56187,37110.11832,36973.63574,,,40104.61739,40104.81143,40106.65296,40122.30375,39943.49823,,,41228.13115,41227.90409,41231.08451,41405.99082,41408.84135,,,39671.81,40978.57,40978.57,41286.67,41286.67,,,39181.76,39181.76,39181.76,38347.1,31776.66,,
37456.77,38564.29,39322.2275,39860.60375,40080.9375,38089.22719,,,37199.98661,37199.94657,37198.61977,37121.86922,36990.01318,,,40023.56437,40023.75319,40025.57727,40043.29925,39875.02462,,,41021.98294,41021.75854,41024.81429,41195.79254,41208.72037,,,39671.81,40978.57,40978.57,41286.67,41286.67,,,37456.77,37456.77,37456.77,37456.77,32099.98,,
38150.02,37803.395,38615.09,39563.7125,40032.15438,38278.29094,,,37231.65439,37231.61568,37230.33311,37156.14091,37028.68007,,,39991.72508,39991.90889,39993.71493,40013.31924,39854.90247,,,40895.47286,40895.2511,40898.18754,41065.28611,41087.31227,,,38150.02,39671.81,40978.57,41286.67,41286.67,,,37456.77,37456.77,37456.77,37456.77,33697.75,,
35438.23,36794.125,37679.2075,38910.2525,39666.62688,38332.68094,,,37172.85359,37172.81615,37171.57563,37099.81596,36976.53417,,,39785.55725,39785.73627,39787.52376,39808.83809,39659.65733,,,40517.13864,40516.91951,40519.74174,40683.01562,40713.2528,,,38150.02,39671.81,40978.57,40978.57,41286.67,,,35438.23,35438.23,35438.23,35438.23,33949.53,,
34375.34,34906.785,36355.09,38196.1425,39263.26813,38345.9875,,,37082.61122,37082.57498,37081.37448,37011.92964,36892.62468,,,39523.70279,39523.8772,39525.64575,39548.51268,39407.99275,,,40065.60855,40065.39203,40068.10491,40227.61439,40265.25763,,,35438.23,38150.02,40978.57,40978.57,41286.67,,,34375.34,34375.34,34375.34,34375.34,34117.59,,
34198.56,34286.95,35540.5375,37431.3825,38877.86,38348.51781,,,36991.05404,36991.01895,36989.85656,36922.61632,36807.09881,,,39266.00003,39266.17002,39267.91933,39292.19493,39159.80318,,,39629.83133,39629.6174,39632.22551,39788.03517,39832.35352,,,34375.34,38150.02,40978.57,40978.57,41286.67,,,34198.56,34198.56,34198.56,34198.56,34198.56,,
